Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureRatio,IncomePerAge,PromotionLag,Attrition
46.0,2,2,2.0,3.0,2,3.0,0,3.0,4.0,3,1.0,1,17048.0,8.0,0,23.0,1.0,0.0,28.0,2.0,3.0,18.0,14.5,7.5,9.0,0.6207,370.61,0.0,0
53.0,2,1,3.0,4.0,3,3.0,1,3.0,4.0,5,3.0,1,17584.0,3.0,1,16.0,4.0,2.5,21.0,4.5,2.0,5.0,3.0,1.0,3.0,0.2273,331.77,0.0,0
24.0,2,1,21.0,2.0,5,3.0,1,2.0,1.0,2,1.0,0,2296.0,0.0,0,14.0,2.0,2.5,2.0,3.0,3.0,1.0,1.0,0.0,0.0,0.3333,95.67,0.0,0
52.0,2,1,11.0,4.0,1,4.0,0,3.0,2.0,2,3.0,1,3149.0,8.0,0,20.0,2.0,1.0,9.0,3.0,3.0,5.0,2.0,1.0,4.0,0.5,60.56,0.0,0
36.0,1,1,3.0,2.0,3,4.0,1,3.0,1.0,2,2.0,2,2088.0,4.0,0,12.0,3.0,0.0,13.0,3.0,2.0,8.0,7.0,7.0,2.0,0.5714,58.0,0.0,0
29.0,2,1,13.0,2.0,4,4.0,1,2.0,2.0,2,2.0,1,4025.0,4.0,1,13.0,1.0,1.0,10.0,2.0,3.0,4.0,3.0,0.0,3.0,0.3636,138.79,0.0,0
28.0,2,1,17.0,2.0,3,3.0,1,3.0,2.0,2,1.0,0,4558.0,1.0,0,12.0,4.0,1.0,10.0,2.0,3.0,10.0,0.0,1.0,8.0,0.9091,162.79,1.0,0
42.0,2,1,2.0,3.0,1,1.0,1,3.0,5.0,3,3.0,1,18880.0,5.0,0,11.0,1.0,0.0,24.0,2.0,2.0,18.0,6.0,4.0,14.0,0.72,449.52,0.0,0
21.0,2,2,5.0,1.0,3,3.0,1,3.0,1.0,8,1.0,2,2380.0,1.0,1,11.0,4.0,0.0,2.0,4.5,3.0,2.0,2.0,1.0,2.0,0.6667,113.33,0.0,0
52.0,2,1,8.0,4.0,3,3.0,1,2.0,2.0,6,2.0,1,4941.0,2.0,0,15.0,1.0,0.0,11.0,3.0,2.0,8.0,2.0,7.0,7.0,0.6667,95.02,5.0,1
22.0,2,1,6.0,1.0,3,1.0,1,3.0,1.0,6,3.0,1,2773.0,0.0,0,20.0,4.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,0.5,126.05,0.0,0
34.0,0,1,3.0,4.0,1,3.0,1,2.0,1.0,6,4.0,1,2979.0,3.0,0,17.0,4.0,2.5,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,87.62,0.0,0
36.0,2,2,16.0,4.0,2,3.0,0,2.0,2.0,7,1.0,1,5647.0,4.0,0,13.0,1.0,2.0,11.0,3.0,2.0,3.0,2.0,0.0,2.0,0.25,156.86,0.0,0
33.0,2,1,15.0,1.0,3,2.0,1,3.0,3.0,3,3.0,1,13610.0,7.0,1,12.0,4.0,0.0,15.0,2.0,4.0,7.0,6.0,7.0,7.0,0.4375,412.42,1.0,1
22.0,2,1,1.0,2.0,1,4.0,1,2.0,2.0,4,4.0,1,4775.0,6.0,0,22.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,0.4,217.05,0.0,0
56.0,2,1,4.0,4.0,5,4.0,0,3.0,5.0,3,1.0,0,19943.0,4.0,0,13.0,4.0,1.0,28.0,2.0,3.0,5.0,2.0,4.0,2.0,0.1724,356.12,2.0,0
29.0,2,1,7.0,3.0,1,3.0,1,3.0,2.0,0,4.0,0,6623.0,1.0,1,11.0,2.0,2.0,6.0,2.0,3.0,6.0,0.0,1.0,0.0,0.8571,228.38,1.0,0
36.0,2,2,1.0,4.0,1,2.0,0,3.0,2.0,7,3.0,2,6815.0,6.0,0,13.0,1.0,0.0,15.0,4.5,3.0,1.0,0.0,0.0,0.0,0.0625,189.31,0.0,0
34.0,2,2,13.0,4.0,3,4.0,1,3.0,3.0,7,3.0,0,8628.0,1.0,0,18.0,3.0,1.0,9.0,2.0,2.0,8.0,7.0,1.0,1.0,0.8,253.76,0.0,0
34.0,2,1,6.0,4.0,4,1.0,0,3.0,2.0,6,3.0,2,4809.0,1.0,0,14.0,3.0,0.0,16.0,3.0,3.0,16.0,13.0,2.0,10.0,0.9412,141.44,0.0,0
50.0,2,1,7.0,2.0,3,2.0,0,2.0,5.0,5,3.0,0,18740.0,5.0,1,12.0,4.0,1.0,28.5,2.0,2.0,18.0,3.0,7.5,8.0,0.6102,374.8,4.5,0
38.0,2,1,2.0,3.0,3,3.0,1,3.0,2.0,4,2.0,1,4855.0,4.0,0,11.0,1.0,2.0,7.0,2.0,3.0,5.0,2.0,1.0,4.0,0.625,127.76,0.0,1
30.0,2,2,1.0,3.0,1,2.0,1,2.0,2.0,7,1.0,1,9714.0,1.0,0,11.0,4.0,1.0,10.0,4.0,3.0,10.0,8.0,6.0,7.0,0.9091,323.8,0.0,1
44.0,2,2,5.0,3.0,2,2.0,1,3.0,5.0,3,2.0,1,18213.0,7.0,0,11.0,3.0,1.0,26.0,4.5,3.0,18.0,9.0,3.0,10.0,0.6667,413.93,0.0,0
48.0,1,1,4.0,5.0,3,3.0,1,2.0,4.0,3,4.0,1,15202.0,2.0,0,25.0,2.0,1.0,23.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0833,316.71,0.0,0
58.0,2,1,9.0,3.0,3,2.0,0,2.0,1.0,6,2.0,1,3346.0,4.0,1,20.0,2.0,1.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,0.1,57.69,0.0,0
29.0,0,2,2.0,3.0,1,4.0,1,3.0,2.0,7,3.0,1,4649.0,1.0,0,14.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,0.0,2.0,0.8,160.31,0.0,0
34.0,2,2,21.0,4.0,1,4.0,1,4.0,2.0,7,4.0,2,5337.0,1.0,0,12.0,4.0,0.0,10.0,3.0,3.0,10.0,7.0,5.0,7.0,0.9091,156.97,0.0,0
27.0,0,1,8.0,5.0,1,1.0,1,1.0,1.0,2,3.0,1,4621.0,1.0,0,19.0,4.0,2.5,3.0,4.0,3.0,3.0,2.0,1.0,2.0,0.75,171.15,0.0,0
42.0,2,2,14.0,2.0,3,3.0,0,2.0,2.0,7,3.0,2,6244.0,7.0,0,17.0,1.0,0.0,10.0,4.5,3.0,5.0,4.0,0.0,3.0,0.4545,148.67,0.0,0
41.0,1,1,22.0,3.0,1,4.0,0,3.0,2.0,6,4.0,0,5467.0,3.0,1,14.0,1.0,2.0,12.0,4.0,2.0,6.0,2.0,3.0,3.0,0.4615,133.34,1.0,0
37.0,2,2,3.0,3.0,1,3.0,1,3.0,3.0,7,4.0,2,7428.0,2.0,0,12.0,1.0,0.0,12.0,3.0,3.0,5.0,3.0,1.0,3.0,0.3846,200.76,0.0,0
25.0,2,1,4.0,1.0,5,4.0,1,3.0,1.0,2,4.0,1,3691.0,1.0,1,15.0,2.0,1.0,7.0,3.0,4.0,7.0,7.0,5.0,6.0,0.875,147.64,0.0,1
33.0,1,2,25.0,3.0,3,2.0,0,3.0,2.0,7,3.0,1,4539.0,1.0,0,12.0,1.0,1.0,10.0,3.0,2.0,10.0,7.0,0.0,1.0,0.9091,137.55,0.0,0
32.0,2,2,6.0,4.0,3,2.0,1,3.0,2.0,7,3.0,2,5010.0,1.0,0,16.0,1.0,0.0,12.0,0.5,3.0,11.0,8.0,5.0,7.0,0.8462,156.56,0.0,0
36.0,2,1,5.0,4.0,1,2.0,0,2.0,1.0,6,1.0,1,3419.0,8.5,1,14.0,4.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0.1429,94.97,0.0,0
26.0,2,1,16.0,4.0,3,1.0,1,3.0,1.0,2,2.0,0,2373.0,2.0,1,13.0,4.0,1.0,5.0,2.0,3.0,3.0,2.0,0.0,2.0,0.5,91.27,0.0,1
40.0,2,1,15.0,3.0,1,1.0,0,2.0,3.0,4,3.0,1,10435.0,1.0,0,13.0,4.0,2.0,18.0,2.0,3.0,18.0,14.5,7.5,12.0,0.9474,260.88,0.0,0
39.0,1,1,22.0,3.0,3,4.0,0,3.0,3.0,4,1.0,2,10880.0,1.0,1,13.0,3.0,0.0,21.0,2.0,3.0,18.0,6.0,2.0,8.0,0.8182,278.97,0.0,0
48.0,0,1,1.0,4.0,3,1.0,1,4.0,4.0,3,4.0,2,16885.0,2.0,0,22.0,3.0,0.0,27.0,3.0,2.0,5.0,4.0,2.0,1.0,0.1786,351.77,0.0,0
32.0,0,1,1.0,3.0,1,4.0,1,3.0,1.0,2,4.0,0,2314.0,0.0,0,12.0,2.0,1.0,4.0,2.0,3.0,3.0,0.0,0.0,2.0,0.6,72.31,0.0,0
43.0,2,1,6.0,3.0,3,1.0,0,2.0,2.0,6,3.0,2,4081.0,1.0,1,14.0,1.0,0.0,20.0,3.0,1.0,18.0,7.0,1.0,8.0,0.8571,94.91,0.0,0
39.0,1,1,2.0,3.0,1,1.0,1,3.0,4.0,0,4.0,0,12169.0,7.0,0,11.0,4.0,2.5,21.0,4.0,3.0,18.0,7.0,7.5,5.0,0.8182,312.03,0.5,1
20.0,1,1,6.0,3.0,1,4.0,0,2.0,1.0,2,4.0,2,2926.0,1.0,1,18.0,2.0,0.0,1.0,4.5,3.0,1.0,0.0,1.0,0.0,0.5,146.3,1.0,1
39.0,2,2,5.0,3.0,5,4.0,1,3.0,2.0,8,4.0,1,2086.0,3.0,0,14.0,3.0,1.0,19.0,4.5,4.0,1.0,0.0,0.0,0.0,0.05,53.49,0.0,1
34.0,2,1,20.0,3.0,5,3.0,0,4.0,1.0,6,3.0,1,2585.0,0.0,0,17.0,4.0,0.0,2.0,4.5,2.0,1.0,0.0,0.0,0.0,0.3333,76.03,0.0,0
38.0,1,1,2.0,4.0,1,1.0,0,4.0,2.0,4,1.0,2,5980.0,6.0,1,12.0,4.0,0.0,17.0,2.0,3.0,15.0,7.0,4.0,12.0,0.8333,157.37,0.0,0
28.0,2,2,2.0,4.0,2,2.0,0,3.0,2.0,7,2.0,1,4779.0,1.0,1,20.0,1.0,0.0,8.0,2.0,3.0,8.0,7.0,7.0,5.0,0.8889,170.68,0.0,0
28.0,2,1,17.0,3.0,5,3.0,1,2.0,1.0,2,4.0,0,2367.0,5.0,0,12.0,1.0,1.0,6.0,2.0,2.0,4.0,1.0,0.0,3.0,0.5714,84.54,0.0,1
45.0,0,2,9.0,4.0,1,2.0,0,2.0,2.0,7,3.0,1,5593.0,1.0,0,13.0,4.0,1.0,15.0,2.0,3.0,15.0,10.0,4.0,12.0,0.9375,124.29,0.0,0
26.0,1,2,1.0,3.0,3,3.0,1,2.0,2.0,7,1.0,2,4294.0,1.0,0,12.0,2.0,0.0,7.0,2.0,3.0,7.0,7.0,0.0,7.0,0.875,165.15,0.0,0
36.0,2,1,2.0,4.0,1,3.0,0,3.0,2.0,4,2.0,2,5410.0,8.5,1,11.0,4.0,0.0,18.0,2.0,3.0,16.0,14.0,5.0,12.0,0.8421,150.28,0.0,0
48.0,2,2,2.0,1.0,2,2.0,1,4.0,2.0,7,2.0,1,8120.0,3.0,0,12.0,4.0,0.0,12.0,3.0,3.0,2.0,2.0,2.0,2.0,0.1538,169.17,0.0,0
43.0,2,1,8.0,4.0,4,3.0,0,3.0,2.0,0,3.0,0,4522.0,4.0,1,14.0,4.0,0.0,8.0,3.0,3.0,5.0,2.0,0.0,2.0,0.5556,105.16,0.0,0
31.0,2,2,10.0,2.0,3,3.0,0,3.0,2.0,7,4.0,0,6583.0,2.0,1,11.0,4.0,1.0,8.0,2.0,3.0,5.0,2.0,1.0,4.0,0.5556,212.35,0.0,0
34.0,1,1,22.0,4.0,4,3.0,1,2.0,2.0,6,4.0,1,5747.0,1.0,1,15.0,2.0,0.0,16.0,3.0,3.0,15.0,10.0,6.0,11.0,0.8824,169.03,0.0,0
47.0,2,1,1.0,3.0,5,1.0,1,3.0,1.0,6,4.0,1,3420.0,7.0,0,12.0,3.0,1.0,17.0,2.0,2.0,6.0,5.0,1.0,2.0,0.3333,72.77,0.0,0
34.0,2,1,29.0,3.0,3,2.0,1,3.0,2.0,2,3.0,1,5429.0,4.0,0,13.0,1.0,2.0,10.0,1.0,3.0,8.0,7.0,7.0,7.0,0.7273,159.68,0.0,0
35.0,2,2,2.0,3.0,2,4.0,0,3.0,1.0,8,4.0,1,2014.0,1.0,0,13.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.6667,57.54,0.0,0
38.0,2,1,29.0,3.0,5,4.0,1,3.0,2.0,4,4.0,1,6261.0,3.0,0,18.0,1.0,1.0,9.0,3.0,1.0,7.0,7.0,1.0,7.0,0.7,164.76,0.0,0
23.0,2,1,1.0,2.0,1,4.0,1,3.0,1.0,6,3.0,1,1223.0,1.0,0,22.0,4.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.5,53.17,0.0,0
44.0,1,1,24.0,3.0,1,4.0,1,3.0,1.0,2,3.0,0,3161.0,3.0,1,22.0,4.0,1.0,19.0,0.5,1.0,1.0,0.0,0.0,0.0,0.05,71.84,0.0,1
29.0,2,1,28.0,4.0,3,4.0,0,2.0,1.0,6,1.0,2,3785.0,1.0,0,14.0,2.0,0.0,5.0,3.0,1.0,5.0,4.0,0.0,4.0,0.8333,130.52,0.0,0
34.0,2,2,1.0,3.0,5,4.0,1,2.0,3.0,7,3.0,1,7083.0,1.0,1,14.0,4.0,0.0,10.0,3.0,3.0,10.0,9.0,7.5,6.0,0.9091,208.32,0.0,0
36.0,0,1,24.0,4.0,1,2.0,0,3.0,2.0,2,2.0,1,5674.0,7.0,0,15.0,3.0,1.0,11.0,3.0,3.0,9.0,8.0,0.0,8.0,0.75,157.61,0.0,0
55.0,0,1,8.0,1.0,3,4.0,1,2.0,4.0,0,2.0,0,13577.0,1.0,1,15.0,4.0,1.0,28.5,3.0,3.0,18.0,9.0,7.5,0.0,0.6102,246.85,0.0,0
43.0,2,1,14.0,2.0,1,2.0,1,3.0,4.0,5,1.0,1,17159.0,6.0,0,24.0,3.0,1.0,22.0,3.0,3.0,4.0,1.0,1.0,0.0,0.1739,399.05,0.0,0
32.0,1,1,2.0,2.0,1,4.0,0,3.0,2.0,6,3.0,2,4998.0,4.0,1,14.0,4.0,0.0,10.0,2.0,3.0,8.0,7.0,0.0,7.0,0.7273,156.19,0.0,0
32.0,1,2,10.0,4.0,2,4.0,1,3.0,2.0,7,4.0,2,4648.0,8.0,0,13.0,3.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,145.25,0.0,0
25.0,2,2,26.0,1.0,3,3.0,0,3.0,2.0,7,4.0,2,6180.0,1.0,0,23.0,2.0,0.0,6.0,4.5,2.0,6.0,5.0,1.0,4.0,0.8571,247.2,0.0,0
37.0,2,1,13.0,3.0,3,1.0,1,3.0,2.0,6,4.0,1,4285.0,1.0,0,17.0,1.0,0.0,10.0,2.0,3.0,10.0,8.0,3.0,7.0,0.9091,115.81,0.0,0
45.0,2,2,2.0,2.0,5,2.0,1,1.0,2.0,8,3.0,2,6632.0,0.0,0,13.0,1.0,0.0,9.0,3.0,3.0,8.0,7.0,3.0,1.0,0.8,147.38,0.0,0
33.0,2,1,1.0,4.0,4,3.0,1,2.0,1.0,6,1.0,2,2799.0,3.0,1,11.0,2.0,0.0,6.0,1.0,3.0,3.0,2.0,0.0,2.0,0.4286,84.82,0.0,0
31.0,2,1,4.0,3.0,3,1.0,0,4.0,1.0,2,3.0,0,3978.0,8.0,0,12.0,2.0,1.0,4.0,0.5,2.0,2.0,2.0,2.0,2.0,0.4,128.32,0.0,0
26.0,2,2,29.0,2.0,3,1.0,1,3.0,2.0,7,3.0,0,4306.0,5.0,0,12.0,1.0,2.0,8.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,165.62,0.0,0
46.0,0,2,26.0,2.0,1,2.0,1,2.0,2.0,7,2.0,2,7991.0,8.0,0,15.0,3.0,0.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,0.2857,173.72,0.0,0
29.0,2,2,23.0,1.0,1,4.0,0,2.0,3.0,7,1.0,1,7336.0,1.0,0,13.0,1.0,1.0,11.0,3.0,1.0,11.0,8.0,3.0,10.0,0.9167,252.97,0.0,1
21.0,2,1,15.0,2.0,1,3.0,1,3.0,1.0,6,4.0,2,1232.0,1.0,0,14.0,4.0,0.0,0.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,58.67,0.0,0
52.0,2,2,2.0,1.0,2,1.0,0,1.0,5.0,3,4.0,1,19845.0,1.0,0,15.0,4.0,1.0,28.5,3.0,3.0,18.0,14.0,6.0,9.0,0.6102,381.63,0.0,1
37.0,2,1,1.0,2.0,3,3.0,0,2.0,1.0,6,1.0,1,3920.0,2.0,0,14.0,1.0,1.0,17.0,2.0,2.0,3.0,1.0,0.0,2.0,0.1667,105.95,0.0,0
39.0,2,1,9.0,2.0,3,1.0,1,3.0,2.0,4,1.0,1,5151.0,1.0,0,25.0,4.0,1.0,10.0,3.0,3.0,10.0,0.0,7.0,9.0,0.9091,132.08,7.0,0
27.0,2,2,11.0,3.0,3,3.0,0,4.0,1.0,8,4.0,1,2534.0,8.0,0,14.0,2.0,1.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.1667,93.85,0.0,0
36.0,2,1,14.0,1.0,1,3.0,1,3.0,2.0,0,4.0,1,6586.0,0.0,1,17.0,1.0,1.0,17.0,2.0,2.0,16.0,8.0,4.0,11.0,0.8889,182.94,0.0,0
49.0,2,1,20.0,4.0,3,3.0,0,3.0,2.0,4,1.0,1,6567.0,1.0,0,14.0,3.0,0.0,16.0,2.0,2.0,15.0,11.0,5.0,11.0,0.8824,134.02,0.0,0
45.0,0,1,23.0,2.0,1,4.0,1,3.0,2.0,2,1.0,1,3633.0,1.0,1,15.0,3.0,1.0,9.0,2.0,3.0,9.0,8.0,0.0,8.0,0.9,80.73,0.0,0
45.0,2,1,28.0,2.0,5,4.0,0,2.0,4.0,5,2.0,2,16704.0,1.0,0,11.0,3.0,0.0,21.0,2.0,3.0,18.0,6.0,7.5,6.0,0.8182,371.2,1.5,0
34.0,1,1,10.0,4.0,3,4.0,1,3.0,1.0,6,3.0,0,3815.0,1.0,1,17.0,4.0,1.0,5.0,4.0,4.0,5.0,3.0,2.0,0.0,0.8333,112.21,0.0,0
35.0,2,1,16.0,2.0,4,4.0,0,2.0,2.0,4,2.0,1,4788.0,0.0,1,11.0,4.0,0.0,4.0,2.0,3.0,3.0,2.0,0.0,2.0,0.6,136.8,0.0,0
33.0,2,0,2.0,3.0,0,2.0,1,3.0,1.0,1,3.0,1,3600.0,1.0,0,13.0,4.0,1.0,5.0,2.0,3.0,5.0,4.0,1.0,4.0,0.8333,109.09,0.0,0
32.0,2,2,4.0,4.0,3,4.0,1,1.0,3.0,7,4.0,1,10400.0,1.0,0,11.0,3.0,0.0,14.0,2.0,2.0,14.0,8.0,7.5,8.0,0.9333,325.0,0.0,1
30.0,2,2,27.0,5.0,2,3.0,1,3.0,2.0,7,4.0,0,5304.0,7.0,0,23.0,4.0,1.0,10.0,2.0,2.0,8.0,7.0,7.0,7.0,0.7273,176.8,0.0,0
34.0,2,1,9.0,3.0,3,4.0,0,2.0,3.0,0,2.0,2,8621.0,1.0,0,14.0,2.0,0.0,9.0,3.0,4.0,8.0,7.0,7.0,7.0,0.8,253.56,0.0,0
23.0,2,2,2.0,1.0,5,3.0,1,3.0,1.0,8,1.0,0,2322.0,3.0,0,13.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,100.96,0.0,0
51.0,2,2,21.0,4.0,2,3.0,1,3.0,2.0,7,4.0,2,5441.0,0.0,1,22.0,4.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0,0.8333,106.69,0.0,0
28.0,1,1,1.0,4.0,3,4.0,1,3.0,1.0,2,3.0,2,2154.0,0.0,1,11.0,3.0,0.0,5.0,2.0,2.0,4.0,2.0,0.0,2.0,0.6667,76.93,0.0,0
31.0,2,1,12.0,3.0,3,4.0,0,3.0,2.0,0,4.0,1,5855.0,0.0,1,11.0,3.0,2.0,10.0,2.0,1.0,9.0,7.0,7.5,5.0,0.8182,188.87,0.5,0
27.0,2,1,1.0,2.0,1,3.0,0,3.0,3.0,4,1.0,1,7412.0,1.0,0,11.0,4.0,0.0,9.0,3.0,3.0,9.0,7.0,0.0,7.0,0.9,274.52,0.0,0
28.0,2,0,8.0,2.0,3,2.0,1,2.0,1.0,1,4.0,0,4936.0,1.0,0,13.0,4.0,1.0,6.0,4.5,3.0,5.0,1.0,0.0,4.0,0.7143,176.29,0.0,0
45.0,0,2,2.0,4.0,1,3.0,0,3.0,2.0,7,3.0,1,5154.0,4.0,0,22.0,2.0,2.0,10.0,3.0,4.0,8.0,7.0,5.0,7.0,0.7273,114.53,0.0,0
